id,monkey_id,iop,icp,torch_present,scan_shape,constructed_filepath,training,oct_present,tiff_present,original scan folder (OCT),original scan folder (tiff),original scan file,scan date,scan time,eyeball (od or os),scan area,scan notes,handler,eric notes,exists,mean_pixel_intensity_y,median_pixel_intensity_y,min_pixel_intensity_y,max_pixel_intensity_y,25th_pixel_intensity_y,75th_pixel_intensity_y,std_pixel_intensity_y
1,1,15,8.5,FALSE,,,FALSE,FALSE,FALSE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/15mmHg,baseline,9,04/25/2013,11:43,OS,5x5,,zixiao,,FALSE,,,,,,,
2,1,15,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/15mmHg/1.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/15mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/15mmHg,1,04/25/2013,11:45,OS,5x5,,zixiao,,TRUE,31,29.1599998,0,186.869995,18.4099998,41.1500015,17.3899994
3,1,15,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/15mmHg/2.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/15mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/15mmHg,2,04/25/2013,11:46,OS,5x5,good image,zixiao,,TRUE,33.0400009,29.6299992,0,197.740005,18.4699993,43.2299995,20.6900005
4,1,15,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/15mmHg/3.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/15mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/15mmHg,3,04/25/2013,11:50,OS,3x3,,zixiao,,TRUE,33.1199989,29.9799995,0,212.5,18.6700001,43.2599983,20.6499996
5,1,15,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/15mmHg/4.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/15mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/15mmHg,4,04/25/2013,11:51,OS,3x3,centered,zixiao,,TRUE,33.8100014,29.6100006,0,220.589996,18.3199997,43.9399986,22.2999992
6,1,15,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/15mmHg/5.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/15mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/15mmHg,5,04/25/2013,11:53,OS,3x3,good,zixiao,,TRUE,32.7599983,29.7299995,0,208.720001,18.5300007,42.8400002,20.2900009
7,1,15,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/15mmHg/6.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/15mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/15mmHg,6,04/25/2013,11:54,OS,3x3,,zixiao,,TRUE,31.9099998,29.5699997,0,226.5,18.5699997,41.9700012,18.8899994
8,1,5,8.5,FALSE,,,FALSE,TRUE,"""bad""",monkey_1_4.25.13/raw bog and tiffs/icpnormal/5mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/5mmHg,1,04/25/2013,12:13,OS,3x3,"bad quality, poor focus EDI",zixiao,,FALSE,,,,,,,
9,1,5,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/5mmHg/2.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/5mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/5mmHg,2,04/25/2013,12:15,OS,3x3,not EDI,zixiao,,TRUE,32.7900009,28.7999992,0,233.539993,17.8500004,42.8699989,21.0900002
10,1,5,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/5mmHg/3.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/5mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/5mmHg,3,04/25/2013,12:17,OS,3x3,not EDI,zixiao,,TRUE,35.1100006,29.0400009,0,222.339996,17.7399998,45.2799988,25.0499992
11,1,5,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/5mmHg/4.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/5mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/5mmHg,4,04/25/2013,12:19,OS,3x3,EDI-best,zixiao,,TRUE,31.3700008,28.8999996,0,206.179993,18.0699997,41.4399986,18.6399994
12,1,5,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/5mmHg/5.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/5mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/5mmHg,5,04/25/2013,12:21,OS,5x5,EDI,zixiao,,TRUE,30.2099991,28.2800007,0,215,17.7600002,40.2799988,17.0699997
13,1,5,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/5mmHg/6.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/5mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/5mmHg,6,04/25/2013,12:23,OS,5x5,EDI-good,zixiao,,TRUE,30.9300003,28.4799995,0,205.389999,17.8099995,41.0299988,18.1800003
14,1,30,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/30mmHg/1.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/30mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/30mmHg,1,04/25/2013,12:25,OS,5x5,EDI,zixiao,,TRUE,30.5900002,28.2900009,0,190.410004,17.7000008,40.7200012,17.7099991
15,1,30,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/30mmHg/2.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/30mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/30mmHg,2,04/25/2013,12:27,OS,5x5,,zixiao,,TRUE,31.6900005,28.6599998,0,202.570007,17.8500004,41.8400002,19.3899994
16,1,30,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/30mmHg/3.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/30mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/30mmHg,3,04/25/2013,12:28,OS,5x5,,zixiao,,TRUE,31.7399998,28.7000008,0,200.050003,17.8700008,41.8800011,19.4300003
17,1,30,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/30mmHg/4.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/30mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/30mmHg,4,04/25/2013,12:30,OS,5x5,,zixiao,,TRUE,30,27.8700008,0,182.589996,17.5,39.9500008,17.1499996
18,1,30,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/30mmHg/5.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/30mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/30mmHg,5,04/25/2013,12:32,OS,5x5,,zixiao,,TRUE,29.9899998,27.9699993,0,218.830002,17.5699997,39.9199982,17.0900002
19,1,30,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/30mmHg/6.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/30mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/30mmHg,6,04/25/2013,12:35,OS,3x3,,zixiao,,TRUE,29.9099998,28.1900005,0,187.630005,17.7399998,39.9399986,16.6200008
20,1,30,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/30mmHg/7.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/30mmHg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/30mmHg,7,04/25/2013,12:36,OS,3x3,,zixiao,,TRUE,31.9200001,28.7900009,0,206.130005,17.9099998,41.9799995,19.8199997
21,1,50,8.5,FALSE,,,FALSE,TRUE,"""bad""",monkey_1_4.25.13/raw bog and tiffs/icpnormal/50mmhg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/50mmhg,1,04/25/2013,12:39,OS,5x5,,zixiao,,FALSE,,,,,,,
22,1,50,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/50mmhg/2.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/50mmhg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/50mmhg,2,04/25/2013,12:41,OS,5x5,,zixiao,,TRUE,30.4099998,28.2700005,0,183.229996,17.7299995,40.4300003,17.4500008
23,1,50,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/50mmhg/3.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/50mmhg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/50mmhg,3,04/25/2013,12:43,OS,5x5,,zixiao,,TRUE,32.0099983,28.6700001,0,192.880005,17.8099995,42.1300011,19.9899998
24,1,50,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/50mmhg/4.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/50mmhg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/50mmhg,4,04/25/2013,12:44,OS,3x3,,zixiao,,TRUE,32.9700012,29.1200008,0,205.139999,18,43.0900002,21.3500004
25,1,50,8.5,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icpnormal/50mmhg/5.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icpnormal/50mmhg,monkey_1_4.25.13/'raw bog and tiffs'/icpnormal/50mmhg,5,04/25/2013,12:45,OS,3x3,,zixiao,,TRUE,32.9500008,29.0900002,0,204.330002,17.9799995,43.0900002,21.3500004
26,1,15,27,FALSE,,,FALSE,TRUE,"""bad""",monkey_1_4.25.13/raw bog and tiffs/icp27/15,monkey_1_4.25.13/'raw bog and tiffs'/icp27/15,1,04/25/2013,13:40,OS,3x3,poor quality,zixiao,,FALSE,,,,,,,
27,1,15,17,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/15/2.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/15,monkey_1_4.25.13/'raw bog and tiffs'/icp27/15,2,04/25/2013,13:43,OS,3x3,better,zixiao,,TRUE,32.0099983,28.8199997,0,219.729996,17.9599991,42.0900002,19.7900009
28,1,15,15,FALSE,,,FALSE,TRUE,"""bad""",monkey_1_4.25.13/raw bog and tiffs/icp27/15,monkey_1_4.25.13/'raw bog and tiffs'/icp27/15,3,04/25/2013,13:45,OS,3x3,,zixiao,,FALSE,,,,,,,
29,1,15,21,FALSE,,,FALSE,TRUE,"""bad""",monkey_1_4.25.13/raw bog and tiffs/icp27/15,monkey_1_4.25.13/'raw bog and tiffs'/icp27/15,4,04/25/2013,13:46,OS,3x3,poor quality,zixiao,,FALSE,,,,,,,
30,1,15,24,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/15/5.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/15,monkey_1_4.25.13/'raw bog and tiffs'/icp27/15,5,04/25/2013,13:48,OS,5x5,good quality,zixiao,,TRUE,31.8899994,28.6100006,0,202.419998,17.7800007,42.0600014,19.7800007
31,1,15,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/15/6.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/15,monkey_1_4.25.13/'raw bog and tiffs'/icp27/15,6,04/25/2013,13:50,OS,5x5,good,zixiao,,TRUE,32.3400002,28.9099998,0,224.440002,18.0200005,42.2299995,20.5499992
32,1,15,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/15/7.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/15,monkey_1_4.25.13/'raw bog and tiffs'/icp27/15,7,04/25/2013,13:51,OS,3x3,,zixiao,,TRUE,33.9599991,29.7900009,0,228.309998,18.4300003,44.0699997,22.4599991
33,1,15,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/15/8.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/15,monkey_1_4.25.13/'raw bog and tiffs'/icp27/15,8,04/25/2013,13:52,OS,3x3,,zixiao,,TRUE,33.8899994,29.7700005,0,220.669998,18.4099998,44.0099983,22.3799992
34,1,15,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/15/9.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/15,monkey_1_4.25.13/'raw bog and tiffs'/icp27/15,9,04/25/2013,13:53,OS,3x3,centered better,zixiao,,TRUE,33.8100014,29.3199997,0,222.229996,18.1200008,43.6800003,22.9200001
35,1,5,25,FALSE,,,FALSE,TRUE,"""bad""",monkey_1_4.25.13/raw bog and tiffs/icp27/5,monkey_1_4.25.13/'raw bog and tiffs'/icp27/5,1,04/25/2013,13:57,OS,3x3,poor quality,zixiao,,FALSE,,,,,,,
36,1,5,25,FALSE,,,FALSE,TRUE,"""bad""",monkey_1_4.25.13/raw bog and tiffs/icp27/5,monkey_1_4.25.13/'raw bog and tiffs'/icp27/5,2,04/25/2013,14:00,OS,3x3,better,zixiao,,FALSE,,,,,,,
37,1,5,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/5/3.oct,TRUE,TRUE,"""bad""",monkey_1_4.25.13/raw bog and tiffs/icp27/5,monkey_1_4.25.13/'raw bog and tiffs'/icp27/5,3,04/25/2013,14:03,OS,3x3,,zixiao,,TRUE,30.7099991,28.1299992,0,255,17.5799999,40.7299995,18.2099991
38,1,5,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/5/4.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/5,monkey_1_4.25.13/'raw bog and tiffs'/icp27/5,4,04/25/2013,14:06,OS,3x3,best,zixiao,,TRUE,31.7199993,28.9099998,0,221.550003,18.0799999,41.6300011,19.3299999
39,1,5,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/5/5.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/5,monkey_1_4.25.13/'raw bog and tiffs'/icp27/5,5,04/25/2013,14:08,OS,3x3,"good, not centered",zixiao,,TRUE,32.1899986,29.2900009,0,233.009995,18.2800007,42.2999992,19.6100006
40,1,5,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/5/6.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/5,monkey_1_4.25.13/'raw bog and tiffs'/icp27/5,6,04/25/2013,14:09,OS,5x5,,zixiao,,TRUE,31.7000008,28.6399994,0,198.460007,17.8099995,41.8400002,19.4300003
41,1,30,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/30/1.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/30,monkey_1_4.25.13/'raw bog and tiffs'/icp27/30,1,04/25/2013,14:11,OS,5x5,,zixiao,,TRUE,31.5599995,28.6000004,0,218.869995,17.8099995,41.6899986,19.1900005
42,1,30,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/30/2.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/30,monkey_1_4.25.13/'raw bog and tiffs'/icp27/30,2,04/25/2013,14:12,OS,5x5,,zixiao,,TRUE,32.2599983,28.7600002,0,188.160004,17.8199997,42.4700012,20.2999992
43,1,30,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/30/3.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/30,monkey_1_4.25.13/'raw bog and tiffs'/icp27/30,3,04/25/2013,14:13,OS,3x3,,zixiao,,TRUE,33.4300003,29.3099995,0,230.600006,18.1399994,43.5900002,21.8600006
44,1,30,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/30/4.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/30,monkey_1_4.25.13/'raw bog and tiffs'/icp27/30,4,04/25/2013,14:14,OS,3x3,,zixiao,,TRUE,33.4099998,29.3400002,0,219.729996,18.1599998,43.5999985,21.7600002
45,1,30,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/30/5.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/30,monkey_1_4.25.13/'raw bog and tiffs'/icp27/30,5,04/25/2013,14:15,OS,3x3,best?,zixiao,,TRUE,33.6100006,29.1599998,0,210.570007,17.9899998,43.7299995,22.3600006
46,1,50,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/50/1.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/50,monkey_1_4.25.13/'raw bog and tiffs'/icp27/50,1,04/25/2013,14:18,OS,3x3,poor quality,zixiao,,TRUE,30.4500008,27.7199993,0,211.949997,17.2299995,40.5800018,18.1800003
47,1,50,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/50/2.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/50,monkey_1_4.25.13/'raw bog and tiffs'/icp27/50,2,04/25/2013,14:20,OS,3x3,"not centered, better quality",zixiao,,TRUE,32.2999992,28.8500004,0,188.809998,17.9099998,42.6599998,20.1100006
48,1,50,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/50/3.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/50,monkey_1_4.25.13/'raw bog and tiffs'/icp27/50,3,04/25/2013,14:22,OS,3x3,,zixiao,,TRUE,30.8099995,28.6499996,0,214.139999,18.0699997,40.7900009,17.6900005
49,1,50,25,FALSE,,,FALSE,TRUE,"""bad""",monkey_1_4.25.13/raw bog and tiffs/icp27/50,monkey_1_4.25.13/'raw bog and tiffs'/icp27/50,4,04/25/2013,14:23,OS,5x5,,zixiao,,FALSE,,,,,,,
50,1,50,25,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icp27/50/5.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icp27/50,monkey_1_4.25.13/'raw bog and tiffs'/icp27/50,5,04/25/2013,14:25,OS,5x5,,zixiao,,TRUE,32.0600014,28.7800007,0,206.639999,17.9300003,42.4000015,19.6900005
51,1,15,7,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icplow/15/1.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icplow/15,monkey_1_4.25.13/'raw bog and tiffs'/icplow/15,1,04/25/2013,14:31,OS,3x3,transition,zixiao,,TRUE,32.2200012,29.1299992,0,197.429993,18.1900005,42.4799995,19.6900005
52,1,15,6,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icplow/15/2.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icplow/15,monkey_1_4.25.13/'raw bog and tiffs'/icplow/15,2,04/25/2013,14:33,OS,3x3,,zixiao,,TRUE,32.8600006,29.5400009,0,219.110001,18.4400005,43.0200005,20.5400009
53,1,15,6,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icplow/15/3.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icplow/15,monkey_1_4.25.13/'raw bog and tiffs'/icplow/15,3,04/25/2013,14:35,OS,5x5,,zixiao,,TRUE,32.7999992,29.3899994,0,212.199997,18.3199997,43.0099983,20.5
54,1,15,6,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icplow/15/4.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icplow/15,monkey_1_4.25.13/'raw bog and tiffs'/icplow/15,4,04/25/2013,14:53,OS,5x5,,zixiao,,TRUE,32.1199989,29.0300007,0,206.279999,18.2199993,42.1500015,19.6499996
55,1,15,6,TRUE,"[512, 512, 2048]",monkey_1_4.25.13/raw bog and tiffs/icplow/15/5.oct,TRUE,TRUE,TRUE,monkey_1_4.25.13/raw bog and tiffs/icplow/15,monkey_1_4.25.13/'raw bog and tiffs'/icplow/15,5,04/25/2013,14:55,OS,5x5,,zixiao,,TRUE,32.9599991,29.3999996,0,206.690002,18.3500004,43.0600014,20.8500004
